epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5176,1.25048,0.65079,0.91961,0.90699,0.86443,0.91312,0.5824,1.17055,0.6439,0.91896,6e-05,6e-05,6e-05
2,27.5529,1.46625,1.18168,1.11514,0.90911,0.87009,0.91499,0.58584,1.15848,0.634,0.91461,0.000137228,0.000137228,0.000137228
3,29.5315,1.36844,0.65852,0.90622,0.89452,0.86423,0.91398,0.58478,1.1458,0.63479,0.9137,0.000211288,0.000211288,0.000211288
4,31.7049,1.27747,0.6683,0.95183,0.89125,0.86495,0.91576,0.58549,1.15966,0.63211,0.91984,0.00028218,0.00028218,0.00028218
5,33.529,1.26344,0.6508,0.94992,0.89463,0.87226,0.91923,0.59242,1.16236,0.62381,0.92339,0.000349904,0.000349904,0.000349904
6,37.9853,1.30307,0.68997,0.93609,0.88402,0.89039,0.92114,0.58578,1.16753,0.61738,0.92606,0.00041446,0.00041446,0.00041446
7,39.8369,1.37563,0.67486,0.93923,0.86702,0.86827,0.89452,0.53611,1.24515,0.66263,0.94422,0.000475848,0.000475848,0.000475848
8,41.6429,1.27598,0.64856,0.92244,0.85698,0.83899,0.88566,0.51684,1.30201,0.68238,0.97125,0.000534068,0.000534068,0.000534068
9,43.4177,1.36822,0.72653,1.00091,0.88177,0.8749,0.91074,0.57889,1.19071,0.62651,0.9398,0.00058912,0.00058912,0.00058912
10,45.2112,1.24587,0.63428,0.90824,0.90453,0.88567,0.91461,0.59141,1.14691,0.61502,0.92575,0.000641004,0.000641004,0.000641004
11,47.0492,1.31115,0.65748,0.92623,0.90855,0.89229,0.91923,0.58716,1.15149,0.61668,0.92473,0.00068972,0.00068972,0.00068972
12,48.8389,1.29442,0.6638,0.92327,0.90275,0.89644,0.92028,0.59822,1.12987,0.60864,0.92331,0.000735268,0.000735268,0.000735268
13,52.9468,1.33631,0.65719,0.94828,0.90295,0.88642,0.92007,0.60544,1.13391,0.60673,0.92097,0.000777648,0.000777648,0.000777648
14,54.833,1.24343,0.68044,0.96651,0.90774,0.8749,0.91467,0.587,1.16102,0.62686,0.92783,0.00081686,0.00081686,0.00081686
15,56.6666,1.27237,0.66481,0.92707,0.89651,0.86744,0.90708,0.56781,1.21011,0.64126,0.93958,0.000852904,0.000852904,0.000852904
16,62.8307,1.26135,0.64284,0.9339,0.89351,0.8807,0.90934,0.57428,1.18821,0.62965,0.93651,0.00088578,0.00088578,0.00088578
17,64.6607,1.24516,0.6342,0.93897,0.88453,0.89561,0.91237,0.58026,1.16262,0.61851,0.9311,0.000915488,0.000915488,0.000915488
18,66.4824,1.2965,0.66828,0.94822,0.89286,0.89066,0.91013,0.5528,1.18366,0.63802,0.93096,0.000942028,0.000942028,0.000942028
19,68.2704,1.23943,0.63503,0.90654,0.89382,0.88576,0.91004,0.54362,1.20633,0.6423,0.93631,0.0009654,0.0009654,0.0009654
20,70.0358,1.24874,0.63811,0.93545,0.89231,0.88484,0.90765,0.54483,1.21676,0.64039,0.94232,0.000985604,0.000985604,0.000985604
21,72.7596,1.22976,0.60991,0.89369,0.90643,0.88815,0.91663,0.57219,1.18189,0.62417,0.94044,0.00100264,0.00100264,0.00100264
22,74.643,1.26046,0.64527,0.92938,0.89966,0.89887,0.92494,0.57715,1.199,0.61887,0.94551,0.00101651,0.00101651,0.00101651
23,79.9109,1.20678,0.60174,0.88713,0.90967,0.88732,0.92043,0.55016,1.25833,0.628,0.95794,0.00102721,0.00102721,0.00102721
24,84.2098,1.17143,0.60746,0.90817,0.91578,0.89064,0.92019,0.55254,1.26378,0.62645,0.9523,0.00103474,0.00103474,0.00103474
25,86.8088,1.30558,0.64239,0.92308,0.92395,0.88401,0.91895,0.57145,1.21702,0.61794,0.93665,0.0010391,0.0010391,0.0010391
26,88.9127,1.23831,0.62795,0.90202,0.92794,0.88567,0.91827,0.58169,1.17104,0.63075,0.92952,0.00101,0.00101,0.00101
27,90.7011,1.16265,0.63198,0.91811,0.90303,0.88727,0.91078,0.58085,1.16864,0.64452,0.93118,0.0009704,0.0009704,0.0009704
28,94.4106,1.23417,0.62135,0.91489,0.88774,0.8865,0.91229,0.58337,1.16435,0.63701,0.93305,0.0009308,0.0009308,0.0009308
29,96.224,1.24576,0.61386,0.90946,0.88802,0.87821,0.91286,0.58132,1.16972,0.63342,0.93013,0.0008912,0.0008912,0.0008912
30,98.0208,1.15275,0.61173,0.92029,0.8966,0.86993,0.91306,0.58327,1.16257,0.62674,0.92588,0.0008516,0.0008516,0.0008516
31,99.769,1.13745,0.60501,0.92058,0.90287,0.88567,0.91654,0.58536,1.15523,0.62587,0.9233,0.000812,0.000812,0.000812
32,103.197,1.17208,0.75241,0.899,0.89457,0.89892,0.9175,0.58909,1.15574,0.6122,0.92438,0.0007724,0.0007724,0.0007724
33,110.169,1.22893,0.64631,0.92081,0.8966,0.89803,0.91802,0.59002,1.14886,0.60435,0.92204,0.0007328,0.0007328,0.0007328
