epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9746,1.43744,0.407,0.51301,0.75996,0.65868,0.64692,0.35966,1.01868,0.35033,0.309,0.00024,0.00024,0.00024
2,23.5017,1.13159,0.38751,0.36673,0.68996,0.64849,0.62277,0.37111,0.91745,0.46298,0.2695,0.00049505,0.00049505,0.00049505
3,28.8739,1.31179,0.35171,0.52732,0.71471,0.62626,0.62665,0.38235,0.96682,0.40236,0.30259,0.000744952,0.000744952,0.000744952
4,35.1785,2.03909,0.25211,1.17965,0.67447,0.4018,0.38472,0.22183,1.49273,0.25769,0.62111,0.000989706,0.000989706,0.000989706
5,41.2628,2.77849,0.1218,1.77258,0.54934,0.24669,0.22717,0.12597,1.68706,0.2287,0.688,0.00122931,0.00122931,0.00122931
6,47.3341,2.67219,0.12398,1.63705,0.49033,0.23875,0.2026,0.10857,1.70622,0.25083,0.65049,0.00146377,0.00146377,0.00146377
7,53.1512,2.61929,0.13183,1.5069,0.51775,0.2721,0.22986,0.12181,1.68974,0.24398,0.59975,0.00169308,0.00169308,0.00169308
8,59.1746,2.65597,0.13605,1.87939,0.54507,0.3658,0.30669,0.16905,1.59627,0.27805,0.50977,0.0018614,0.0018614,0.0018614
9,65.0918,2.46411,0.17663,1.34937,0.54507,0.3658,0.30669,0.16905,1.59627,0.27805,0.50977,0.0018416,0.0018416,0.0018416
10,70.4117,2.34706,0.19105,1.31508,0.55814,0.39598,0.34049,0.19782,1.58762,0.28545,0.53601,0.0018218,0.0018218,0.0018218
11,76.1612,2.06143,0.22948,1.04011,0.63084,0.39968,0.36429,0.21375,1.55506,0.27892,0.48527,0.001802,0.001802,0.001802
12,82.0501,1.88012,0.24294,0.77606,0.57564,0.44786,0.3688,0.22077,1.46929,0.29369,0.45111,0.0017822,0.0017822,0.0017822
13,87.4075,1.56254,0.32069,0.6367,0.63936,0.46533,0.41234,0.25218,1.40414,0.29634,0.44911,0.0017624,0.0017624,0.0017624
14,93.3046,1.45267,0.3194,0.5306,0.64796,0.48121,0.44852,0.27657,1.37832,0.29071,0.46894,0.0017426,0.0017426,0.0017426
15,99.5834,1.75386,0.24303,0.6825,0.64796,0.48121,0.44852,0.27657,1.37832,0.29071,0.46894,0.0017228,0.0017228,0.0017228
16,105.096,1.49241,0.30311,0.55008,0.6562,0.50014,0.44996,0.28075,1.38925,0.28464,0.47259,0.001703,0.001703,0.001703
17,110.33,1.49817,0.28119,0.5119,0.66709,0.49021,0.4494,0.27729,1.43534,0.27495,0.48763,0.0016832,0.0016832,0.0016832
18,115.778,1.59688,0.26944,0.55368,0.70622,0.48385,0.44972,0.28462,1.44717,0.25829,0.50955,0.0016634,0.0016634,0.0016634
19,121.624,1.71945,0.23747,0.61743,0.71092,0.48015,0.45134,0.2898,1.43987,0.25183,0.51681,0.0016436,0.0016436,0.0016436
20,127,1.74423,0.23974,0.68125,0.71092,0.48015,0.45134,0.2898,1.43987,0.25183,0.51681,0.0016238,0.0016238,0.0016238
21,132.457,1.67047,0.24474,0.58156,0.7199,0.47274,0.44348,0.28082,1.45066,0.25604,0.52611,0.001604,0.001604,0.001604
22,138.023,1.69738,0.24102,0.55494,0.71847,0.47009,0.44837,0.28953,1.43769,0.25958,0.51249,0.0015842,0.0015842,0.0015842
23,143.046,1.57956,0.26305,0.54097,0.6834,0.48068,0.44152,0.28562,1.4254,0.25906,0.53179,0.0015644,0.0015644,0.0015644
