epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.364,1.91763,1.04392,1.18698,0.86956,0.85251,0.87935,0.47436,1.39987,0.74593,0.9977,0.000659498,0.000659498,0.000659498
2,698.504,1.4905,0.71987,0.98891,0.89162,0.88549,0.89695,0.53608,1.27871,0.6896,0.96796,0.00129991,0.00129991,0.00129991
3,776.129,1.43348,0.68245,0.97461,0.89475,0.87544,0.90055,0.50308,1.40023,0.70163,0.99604,0.00191392,0.00191392,0.00191392
4,879.856,1.4061,0.66264,0.96207,0.91407,0.8862,0.91838,0.51882,1.3484,0.68454,0.967,0.0018812,0.0018812,0.0018812
5,1176.45,1.3718,0.64691,0.95469,0.92176,0.91114,0.93309,0.58177,1.20668,0.63442,0.95318,0.0018416,0.0018416,0.0018416
6,1314.63,1.31833,0.62153,0.94153,0.91295,0.90331,0.92923,0.555,1.26847,0.62178,0.95492,0.001802,0.001802,0.001802
7,1480.02,1.29732,0.60845,0.93733,0.89979,0.87695,0.90882,0.47428,1.44871,0.68092,0.9953,0.0017624,0.0017624,0.0017624
8,1613.58,1.28006,0.59868,0.93097,0.93412,0.91672,0.94516,0.61072,1.13029,0.56237,0.92041,0.0017228,0.0017228,0.0017228
9,1928.41,1.27347,0.59028,0.92657,0.94222,0.91744,0.94601,0.61219,1.11716,0.56009,0.91966,0.0016832,0.0016832,0.0016832
10,2116.65,1.25322,0.5796,0.92231,0.9307,0.91961,0.94468,0.59944,1.15148,0.57128,0.93701,0.0016436,0.0016436,0.0016436
11,2395.17,1.23253,0.57384,0.91962,0.94079,0.92211,0.94862,0.6243,1.08521,0.5559,0.91453,0.001604,0.001604,0.001604
12,2451.56,1.24094,0.57708,0.92028,0.90811,0.89997,0.9265,0.57264,1.18843,0.57743,0.94865,0.0015644,0.0015644,0.0015644
13,2836.51,1.21653,0.56402,0.9165,0.93284,0.9166,0.94431,0.59001,1.16954,0.55898,0.93524,0.0015248,0.0015248,0.0015248
14,3079.11,1.201,0.55837,0.91487,0.93857,0.92633,0.94896,0.63102,1.07813,0.54128,0.91131,0.0014852,0.0014852,0.0014852
15,3174.26,1.19587,0.55421,0.91091,0.94471,0.92226,0.94991,0.63684,1.05926,0.52185,0.90714,0.0014456,0.0014456,0.0014456
16,3349.62,1.18717,0.55191,0.90971,0.94015,0.92319,0.94986,0.62581,1.09238,0.52269,0.91081,0.001406,0.001406,0.001406
17,3730.79,1.18289,0.54523,0.90491,0.92956,0.91125,0.93665,0.5697,1.21561,0.5665,0.93012,0.0013664,0.0013664,0.0013664
18,3867.65,1.1783,0.54093,0.90636,0.94918,0.93154,0.95202,0.64705,1.03014,0.50594,0.90058,0.0013268,0.0013268,0.0013268
19,4044.38,1.16679,0.54204,0.90429,0.93598,0.92596,0.9492,0.62604,1.07835,0.52647,0.91018,0.0012872,0.0012872,0.0012872
20,4433.15,1.17473,0.53608,0.90276,0.94817,0.92903,0.95139,0.64235,1.03558,0.50908,0.89854,0.0012476,0.0012476,0.0012476
21,4528.33,1.16059,0.53592,0.90245,0.94891,0.92546,0.95112,0.64419,1.04017,0.51071,0.89899,0.001208,0.001208,0.001208
