============================================================
РАСПОЗНАВАНИЕ ТЕКСТА
============================================================
Изображение: 4a182984cb5a4e9ab0b966800b64a7f2.jpg
Дата: 2026-05-25 08:16:56
============================================================

РАСПОЗНАННЫЙ ТЕКСТ (в порядке чтения):
------------------------------------------------------------

[1] ѭ̇ѧ
[2] нъ
[3] месяц,
[4] скучая
[5] бі
[6] облачной
[7] мгл҃е,
[8] Бросил
[9] в҃
[10] горницу
[11] тусклый
[12] взор.
[13] Там
[14] шесть
[15] приборов.
[16] стоят
[17] на
[18] цоле,
[19] і҃
[20] только
[21] один
[22] пуст
[23] грибор.
[24] это
[25] муж
[26] мой
[27] і҃
[28] 9,
[29] и҃
[30] друзья
[31] мои
[32] Встречаем
[33] новый
[34] год
[35] Отчего
[36] мой
[37] пальцы
[38] сповно
[39] съ
[40] крови.
[41] бі
[42] Сино
[43] как
[44] отрава
[45] нет.
[46] хозяки,
[47] поднявши
[48] полный
[49] станан
[50] Был
[51] важен
[52] ꙗ
[53] недвижим:
[54] 119
[55] лью.
[56] за
[57] землю,
[58] родных
[59] полян
[60] съ
[61] которой.
[62] мы
[63] все
[64] летим:
[65] 4.
[66] въ
[67] 13.
[68] друг,
[69] которых.
[70] Воскликнул:
[71] вспомнила
[72] поглядевши
[73] мы
[74] п.
[75] бог
[76] а҃
[77] все
[78] ѯ҃
[79] весть.
[80] є҃
[81] за
[82] 20.
[83] інивелъ!
[84] лицо
[85] песни
[86] чам,
[87] песни ее,
[88] мне
[89] ее,
[90] но
[91] третий,
[92] но
[93] знавший
[94] ничего,
[95] когда
[96] он
[97] покинул
[98] свет
[99] мыслям.
[100] моим
[101] ѕ҃і
[102] ответ
[103] Промолвил:
[104] а҃і
[105] мы
[106] выпить,
[107] должны за
[108] кого
[109] еще
[110] гдⷭ҇ень.
[111] нами
[112] нет"
    (отредактировано: было 'нет')
[113] того
[114] "Русский
    (отредактировано: было '')
[115] Современник
[116] V.
[117] 1924

============================================================
Всего блоков: 117
============================================================
